id;n_processo;assunto;setor_atual;status;sistema
5f9c768ab287b10009cb8d23;1020.2020/0014219-1;Cadastro de Sistema Especial de Segurança;CONTRU;deferido;Aprova Digital
5f9c821b47f18400089df880;1020.2020/0014295-7;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;Aprova Digital
5f9c8681faa9b0000876caab;1010.2020/0008678-5;Alvará de Aprovação e Execução de Reforma (Exceto HIS e HMP);GAB;em análise;Aprova Digital
5f9c8c73614b9800082563a6;1010.2020/0008676-9;Certificado de Acessibilidade;CONTRU;em análise;Aprova Digital
5f9c8d7b614b9800082563a9;1020.2020/0014481-0;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido;Aprova Digital
5fa09b1d6de99a0008f87b83;1020.2020/0014297-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;Aprova Digital
5fa158b9f0bc9b000954cf81;1010.2020/0008639-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;deferido;Aprova Digital
5fa165fb1e48470009e287b8;1010.2020/0008626-2;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;Aprova Digital
5fa16bdda376ae0009c01421;1010.2020/0008628-9;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5fa18ed2e55cb500085360ea;1010.2020/0008644-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);COMIN;desistido;Aprova Digital
5fa19604cb5fe80008967e48;1020.2020/0014423-2;Certificado de Acessibilidade;CONTRU;indeferido e encerrado;Aprova Digital
5fa19ff21d74230008b1878d;1010.2020/0008672-6;Alvará de Aprovação e Execução de Edificação Nova (Exceto HIS/ HMP);RESID;em análise;Aprova Digital
5fa1a0031d74230008b18790;1010.2020/0008635-1;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;deferido;Aprova Digital
5fa1ad39aa70c20008595423;1010.2020/0008646-7;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);RESID;deferido;Aprova Digital
5fa1ae0aaa70c20008595426;1020.2020/0014941-2;Alvará de Aprovação de Edificação Nova (Exceto HIS/ HMP);RESID;indeferido;Aprova Digital
5fa1ae7daa70c20008595429;1010.2020/0008645-9;Alvará de Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;Aprova Digital
5fa1bf4a6615450008e3af8e;1020.2020/0015994-9;Alvará de Execução para instalação de Estação Rádio-Base;CONTRU;indeferido e encerrado;Aprova Digital
5fa1bfa5a5f5010007926613;1020.2020/0014429-1;Certificado de Segurança;CONTRU;em análise;Aprova Digital
5fa1c2cf048c150009010f43;1010.2020/0008648-3;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
5fa1c6c4a73b6a0008d5df17;1020.2020/0014304-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;desistido;Aprova Digital
5fa1c78c53afb40008f0d817;1020.2020/0014318-0;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido;Aprova Digital
5fa1c7e29ea82f00088382df;1020.2020/0014288-4;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;indeferido e encerrado;Aprova Digital
5fa1d23e8d6234000870f917;1020.2020/0014208-6;Alvará de Aprovação e Execução de Edificação Nova (HIS/ HMP);PARHIS;em análise;Aprova Digital
