sistema,processo,protocolo,codigoAssuntoObra,situacaoDespacho,unidade,dtEmissaoDespacho,dtPublicacaoDespacho,dt_inclusao
AprovaDigital,1020.2020/0015824-1,718-20-SP-SAO,5fda91eb813842000940aa90,NULL,SMUL/RESID/DRGP,2021-07-02,2021-07-02,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015824-1,718-20-SP-SAO,5fda91eb813842000940aa90,NULL,SMUL/PARHIS,2021-08-04,2021-08-04,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015542-0,719-20-SP-SAO,5fdb528bbbff100008983676,NULL,SMUL/PARHIS/DHMP,2021-03-02,2021-03-02,2023-08-31 14:46:00
AprovaDigital,1020.2021/0003462-5,721-20-SP-NEW,5fdb6da9542f140008db2935,NULL,SMUL/CONTRU/DLR,2023-03-24,2023-03-24,2023-08-31 14:46:00
AprovaDigital,1020.2021/0003462-5,721-20-SP-NEW,5fdb6da9542f140008db2935,NULL,SMUL/CONTRU,2023-04-24,2023-04-24,2023-08-31 14:46:00
AprovaDigital,1020.2021/0003462-5,721-20-SP-NEW,5fdb6da9542f140008db2935,NULL,SMUL/GAB,2023-08-24,2023-08-24,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015549-8,722-20-SP-SAO,5fdb7134b75ac600085c787e,NULL,SMUL/PARHIS/DHIS,2023-03-17,2023-03-17,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015549-8,722-20-SP-SAO,5fdb7134b75ac600085c787e,NULL,SMUL/PARHIS,2023-07-03,2023-07-03,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015549-8,722-20-SP-SAO,5fdb7134b75ac600085c787e,NULL,SMUL/PARHIS,2023-07-03,2023-07-03,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015552-8,725-20-SP-SAO,5fdb93d8602adc000983be4c,NULL,SMUL/PARHIS/DHIS,2022-07-14,2022-07-14,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015847-0,727-20-SP-NEW,5fdba51f2ef6c400099516a1,NULL,SMUL/CONTRU/DINS,2022-03-18,2022-03-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015847-0,727-20-SP-NEW,5fdba51f2ef6c400099516a1,NULL,SMUL/CONTRU/DINS,2022-03-18,2022-03-18,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015551-0,728-20-SP-SAO,5fdba6b42ef6c400099516a4,NULL,SMUL/PARHIS/DHIS,2022-10-21,2022-10-21,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015551-0,728-20-SP-SAO,5fdba6b42ef6c400099516a4,NULL,SMUL/PARHIS/DHIS,2022-10-21,2022-10-21,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015558-7,729-20-SP-INT,5fdba972e01ffa0008312b73,NULL,SMUL/PARHIS/DHIS,2022-02-25,2022-02-25,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015558-7,729-20-SP-INT,5fdba972e01ffa0008312b73,NULL,SMUL/PARHIS/DHIS,2022-02-25,2022-02-25,2023-08-31 14:46:00
AprovaDigital,1020.2020/0015843-8,730-20-SP-NEW,5fdba9e5e01ffa0008312b76,NULL,SMUL/CONTRU/DINS,2022-08-05,2022-08-05,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003783-0,25886-23-SP-ALV,63fe30089843bb00088826fb,NULL,SMUL/RESID/DRPM,2023-05-18,2023-05-18,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003783-0,25886-23-SP-ALV,63fe30089843bb00088826fb,NULL,SMUL/RESID/DRPM,2023-05-18,2023-05-18,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004393-8,25887-23-SP-ERB,63fe38976b6d8b00086f07ca,NULL,SMUL/CAP,2023-03-15,2023-03-15,2023-08-31 14:46:00
AprovaDigital,1020.2023/0006244-4,25890-23-SP-ERB,63fe3cc0598f1a0008ef6461,NULL,SMUL/CAP/DEPROT,2023-04-07,2023-04-07,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003639-7,25891-23-SP-CCE,63fe3d0948b4bc0008954ba4,NULL,SMUL/RESID/DRGP,2023-03-30,2023-03-30,2023-08-31 14:46:00
AprovaDigital,1020.2023/0003345-2,25893-23-SP-APO,63fe4023bb7bfb0008c61fc7,NULL,SMUL/PARHIS/DHIS,2023-03-13,2023-03-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004573-6,25898-23-SP-ALV,63fe5637ffac3f0008542a82,NULL,SMUL/RESID/DRGP,2023-04-13,2023-04-13,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004037-8,25901-23-SP-ALV,63fe5a40eab21c0008bba79b,NULL,SMUL/RESID/DRGP,2023-08-11,2023-08-11,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004037-8,25901-23-SP-ALV,63fe5a40eab21c0008bba79b,NULL,SMUL/RESID/DRGP,2023-08-11,2023-08-11,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004642-2,25903-23-SP-ERB,63fe623e15c0f70008876bde,NULL,SMUL/CAP,2023-03-17,2023-03-17,2023-08-31 14:46:00
AprovaDigital,1020.2023/0004134-0,25906-23-SP-CER,63fe76c92cc8eb0008debce2,NULL,SMUL/CONTRU/DSUS,2023-06-06,2023-06-06,2023-08-31 14:46:00
