sistema,processo,protocolo,codigoAssuntoObra,situacaoComuniqueSe,unidade,codigoComuniquese,dtEmissaoComuniquese,dtPublicacaoComuniquese,dt_inclusao,responsavel
AprovaDigital,1020.2022/0020139-6,21650-22-SP-ALV,6348554b957f380009f4d9ac,NULL,SMUL/PARHIS/DHMP,NULL,2022-11-29,2022-11-29,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020139-6,21650-22-SP-ALV,6348554b957f380009f4d9ac,NULL,SMUL/PARHIS/DHMP,NULL,2023-01-04,2023-01-04,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020139-6,21650-22-SP-ALV,6348554b957f380009f4d9ac,NULL,SMUL/PARHIS/DHMP,NULL,2023-08-01,2023-08-01,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020140-0,21632-22-SP-ALV,6346de8113f0dd000920f1f2,NULL,SMUL/RESID/DRGP,NULL,2022-11-24,2022-11-24,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020140-0,21632-22-SP-ALV,6346de8113f0dd000920f1f2,NULL,SMUL/RESID/DRGP,NULL,2023-01-16,2023-01-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020141-8,21182-22-SP-ALV,63362419204fd70009681444,NULL,SMUL/PARHIS/DHIS,NULL,2023-04-06,2023-04-06,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020141-8,21182-22-SP-ALV,63362419204fd70009681444,NULL,SMUL/PARHIS/DHIS,NULL,2023-05-03,2023-05-03,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020141-8,21182-22-SP-ALV,63362419204fd70009681444,NULL,SMUL/PARHIS/DHIS,NULL,2023-06-05,2023-06-05,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020144-2,21825-22-SP-TAX,6350071a2f783d0009c93bfe,NULL,SMUL/PARHIS,NULL,2022-11-16,2022-11-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020145-0,21826-22-SP-CCE,635010792c54a9000994c3dd,NULL,SMUL/PARHIS/DHIS,NULL,2022-12-26,2022-12-26,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020186-8,20505-22-SP-CDT,63246a41f42d550009b66dca,NULL,SMUL/CONTRU/DINS,NULL,2023-04-14,2023-04-14,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020187-6,21614-22-SP-CCE,6345cb35cd8a8d0009085ec3,NULL,SMUL/RESID/DRGP,NULL,2022-12-19,2022-12-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020187-6,21614-22-SP-CCE,6345cb35cd8a8d0009085ec3,NULL,SMUL/RESID/DRGP,NULL,2023-01-16,2023-01-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020188-4,20581-22-SP-ALV,6328830aeacbd4000939c9eb,NULL,SMUL/PARHIS/DPS,NULL,2023-01-09,2023-01-09,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020188-4,20581-22-SP-ALV,6328830aeacbd4000939c9eb,NULL,SMUL/PARHIS/DPS,NULL,2023-02-14,2023-02-14,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020189-2,21358-22-SP-ALV,633dbdbc318e7e00095b7d98,NULL,SMUL/SERVIN/DSIGP,NULL,2023-02-08,2023-02-08,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020189-2,21358-22-SP-ALV,633dbdbc318e7e00095b7d98,NULL,SMUL/SERVIN/DSIGP,NULL,2023-03-27,2023-03-27,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020199-0,21471-22-SP-ALV,63405d7964983700099d0a92,NULL,SMUL/RESID/DRPM,NULL,2022-11-24,2022-11-24,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020199-0,21471-22-SP-ALV,63405d7964983700099d0a92,NULL,SMUL/RESID/DRPM,NULL,2022-12-26,2022-12-26,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020201-5,21607-22-SP-ALV,6345af8b15b8f500091da11f,NULL,SMUL/PARHIS/DHIS,NULL,2023-07-12,2023-07-12,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020205-8,21555-22-SP-REF,6344685011130900091f4479,NULL,SMUL/COMIN/DCIMP,NULL,2023-02-16,2023-02-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020207-4,21425-22-SP-ALV,633f225de9991f0009520ac3,NULL,SMUL/PARHIS/DPS,NULL,2023-02-17,2023-02-17,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020207-4,21425-22-SP-ALV,633f225de9991f0009520ac3,NULL,SMUL/PARHIS/DPS,NULL,2023-03-27,2023-03-27,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020208-2,21691-22-SP-REF,63498430b3ccb30009f7a558,NULL,SMUL/COMIN/DCIGP,NULL,2023-05-15,2023-05-15,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020208-2,21691-22-SP-REF,63498430b3ccb30009f7a558,NULL,SMUL/COMIN/DCIGP,NULL,2023-06-13,2023-06-13,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020212-0,21598-22-SP-ALV,634597209c3c120009b911b1,NULL,SMUL/RESID/DRGP,NULL,2023-01-11,2023-01-11,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020212-0,21598-22-SP-ALV,634597209c3c120009b911b1,NULL,SMUL/RESID/DRGP,NULL,2023-05-18,2023-05-18,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020212-0,21598-22-SP-ALV,634597209c3c120009b911b1,NULL,SMUL/RESID/DRGP,NULL,2023-08-01,2023-08-01,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020214-7,21712-22-SP-ALV,6349cddb7d6d2000092082a6,NULL,SMUL/RESID/DRGP,NULL,2022-11-17,2022-11-17,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020214-7,21712-22-SP-ALV,6349cddb7d6d2000092082a6,NULL,SMUL/RESID/DRGP,NULL,2023-03-21,2023-03-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020216-3,21568-22-SP-ALV,63448888e60ad3000992f0b6,NULL,SMUL/PARHIS/DHMP,NULL,2023-02-22,2023-02-22,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020216-3,21568-22-SP-ALV,63448888e60ad3000992f0b6,NULL,SMUL/PARHIS/DHMP,NULL,2023-05-23,2023-05-23,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020220-1,21130-22-SP-REF,6335a6ac0a17ce0009139cd0,NULL,SMUL/SERVIN/DSIMP,NULL,2023-03-22,2023-03-22,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020222-8,21624-22-SP-ALV,6345dfe2c7ecde0009bccacf,NULL,SMUL/COMIN/DCIGP,NULL,2023-04-05,2023-04-05,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020222-8,21624-22-SP-ALV,6345dfe2c7ecde0009bccacf,NULL,SMUL/COMIN/DCIGP,NULL,2023-05-12,2023-05-12,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020225-2,21646-22-SP-ALV,634840177947dd0009cca9bf,NULL,SMUL/RESID/DRGP,NULL,2022-12-02,2022-12-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020225-2,21646-22-SP-ALV,634840177947dd0009cca9bf,NULL,SMUL/RESID/DRGP,NULL,2023-02-17,2023-02-17,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020226-0,21719-22-SP-ALV,634a04d73608100009224592,NULL,SMUL/RESID/DRGP,NULL,2022-11-16,2022-11-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020228-7,21684-22-SP-ALV,63496ceef3e47300091e7693,NULL,COMIN/DCIMP,NULL,2023-03-03,2023-03-03,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020231-7,21698-22-SP-CCE,634999633bfea300096631b2,NULL,SMUL/RESID/DRGP,NULL,2022-11-01,2022-11-01,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020232-5,21682-22-SP-ALV,63496bae9383ae0009d583bc,NULL,SMUL/COMIN/DCIGP,NULL,2023-03-27,2023-03-27,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020232-5,21682-22-SP-ALV,63496bae9383ae0009d583bc,NULL,SMUL/COMIN/DCIGP,NULL,2023-05-03,2023-05-03,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020234-1,21670-22-SP-ALV,6348928e45c3af00092d6a8b,NULL,SMUL/RESID/DRGP,NULL,2023-01-05,2023-01-05,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020235-0,21673-22-SP-ALV,6348b476bb83190009307284,NULL,SMUL/RESID/DRGP,NULL,2023-01-05,2023-01-05,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020235-0,21673-22-SP-ALV,6348b476bb83190009307284,NULL,SMUL/RESID/DRGP,NULL,2023-03-06,2023-03-06,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020235-0,21673-22-SP-ALV,6348b476bb83190009307284,NULL,SMUL/RESID/DRPM,NULL,2023-04-19,2023-04-19,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020312-7,21681-22-SP-CDT,63496a2a315608000972e4ee,NULL,SMUL/CONTRU/DACESS,NULL,2023-08-07,2023-08-07,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020312-7,21681-22-SP-CDT,63496a2a315608000972e4ee,NULL,SMUL/CONTRU/DACESS,NULL,2023-08-22,2023-08-22,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020320-8,19741-22-SP-CER,631603b1c851e50009b297d1,NULL,SMUL/CONTRU/DACESS,NULL,2022-12-15,2022-12-15,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020320-8,19741-22-SP-CER,631603b1c851e50009b297d1,NULL,SMUL/CONTRU/DACESS,NULL,2023-01-16,2023-01-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020320-8,19741-22-SP-CER,631603b1c851e50009b297d1,NULL,SMUL/CONTRU/DACESS,NULL,2023-03-02,2023-03-02,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020363-1,21671-22-SP-CDT,6348942154c4ba00092a86ef,NULL,SMUL/CONTRU/DINS,NULL,2022-11-21,2022-11-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020364-0,21576-22-SP-CER,6344b21a0e1b4b0009caf93b,NULL,SMUL/CONTRU/DACESS,NULL,2023-02-17,2023-02-17,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020365-8,21658-22-SP-CER,6348693229b25d0009aef750,NULL,SMUL/CONTRU/DACESS,NULL,2023-02-17,2023-02-17,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020365-8,21658-22-SP-CER,6348693229b25d0009aef750,NULL,SMUL/CONTRU/DACESS,NULL,2023-03-27,2023-03-27,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020365-8,21658-22-SP-CER,6348693229b25d0009aef750,NULL,SMUL/CONTRU/DACESS,NULL,2023-05-30,2023-05-30,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020365-8,21658-22-SP-CER,6348693229b25d0009aef750,NULL,SMUL/CONTRU/DACESS,NULL,2023-08-11,2023-08-11,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020367-4,21655-22-SP-CER,6348612560c7cb0009b1b800,NULL,SMUL/CONTRU/DACESS,NULL,2023-02-16,2023-02-16,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020367-4,21655-22-SP-CER,6348612560c7cb0009b1b800,NULL,SMUL/CONTRU/DACESS,NULL,2023-04-05,2023-04-05,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020367-4,21655-22-SP-CER,6348612560c7cb0009b1b800,NULL,SMUL/CONTRU/DACESS,NULL,2023-08-29,2023-08-29,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020368-2,21706-22-SP-CER,6349b1d71ed35800093878ea,NULL,SMUL/CONTRU/DINS,NULL,2023-05-24,2023-05-24,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020368-2,21706-22-SP-CER,6349b1d71ed35800093878ea,NULL,SMUL/CONTRU/DINS,NULL,2023-06-12,2023-06-12,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020368-2,21706-22-SP-CER,6349b1d71ed35800093878ea,NULL,SMUL/CONTRU/DINS,NULL,2023-07-21,2023-07-21,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020374-7,20717-22-SP-ALV,632b1f15b958df0009b364c3,NULL,SMUL/RESID/DRPM,NULL,2023-06-30,2023-06-30,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020376-3,20954-22-SP-ALV,6331c83783dd2c000909a6f1,NULL,SMUL/RESID/DRGP,NULL,2022-11-25,2022-11-25,2023-09-05 19:09:00,NULL
AprovaDigital,1020.2022/0020376-3,20954-22-SP-ALV,6331c83783dd2c000909a6f1,NULL,SMUL/RESID/DRGP,NULL,2022-12-21,2022-12-21,2023-09-05 19:09:00,NULL
