processo;despacho;contagem_dispatched;contagem_dom
1020.2022/0017797-5;Despacho deferido;1;correto
1020.2022/0017799-1;Despacho deferido;1;correto
1020.2022/0018097-6;Despacho deferido;1;correto
1020.2022/0017800-9;Despacho deferido;1;correto
1020.2022/0017802-5;Despacho deferido;1;correto
1020.2022/0017815-7;Despacho deferido;1;correto
1020.2022/0017816-5;Despacho deferido;1;correto
1020.2022/0017869-6;Despacho deferido;1;correto
1020.2022/0017942-0;Despacho deferido;1;correto
1020.2022/0018085-2;Despacho deferido;1;correto
1020.2022/0017998-6;Despacho deferido;1;correto
1020.2022/0017864-5;Despacho deferido;1;correto
1020.2022/0017939-0;Despacho deferido;1;correto
1020.2022/0018084-4;Despacho deferido;1;correto
1020.2022/0018083-6;Despacho deferido;1;correto
1020.2022/0018082-8;Despacho deferido;1;correto
1020.2022/0017866-1;Despacho deferido;1;correto
1020.2022/0017867-0;Despacho deferido;1;correto
1020.2022/0017999-4;Despacho deferido;1;correto
1020.2022/0017868-8;Despacho deferido;1;correto
1020.2022/0017971-4;Despacho deferido;1;correto
1020.2022/0018081-0;Despacho deferido;1;correto
1020.2022/0017937-4;Despacho deferido;1;correto
1020.2022/0017936-6;Despacho deferido;1;correto
1020.2022/0017862-9;Despacho deferido;1;correto
1020.2022/0018086-0;Despacho deferido;1;correto
1020.2022/0017997-8;Despacho deferido;1;correto
1020.2022/0017995-1;Despacho deferido;1;correto
1020.2022/0017817-3;Despacho deferido;1;correto
1020.2022/0017992-7;Despacho deferido;1;correto
1020.2022/0017818-1;Despacho deferido;1;correto
1020.2022/0017856-4;Despacho deferido;1;correto
1020.2022/0017993-5;Despacho deferido;1;correto
1020.2022/0018088-7;Despacho deferido;1;correto
1020.2022/0017994-3;Despacho deferido;1;correto
1020.2022/0017857-2;Despacho deferido;1;correto
1020.2022/0018087-9;Despacho deferido;1;correto
1020.2022/0017941-2;Despacho deferido;1;correto
1020.2022/0017858-0;Despacho deferido;1;correto
1020.2022/0017859-9;Despacho deferido;1;correto
1020.2022/0017860-2;Despacho deferido;1;correto
1020.2022/0017861-0;Despacho deferido;1;correto
1020.2022/0017996-0;Despacho deferido;1;correto
1020.2022/0017972-2;Despacho deferido;1;correto
1010.2020/0006241-0;Despacho deferido;1;correto
1020.2022/0017051-2;Despacho deferido;1;correto
1020.2022/0017085-7;Despacho deferido;1;correto
1020.2022/0017086-5;Despacho deferido;1;correto
1020.2022/0017087-3;Despacho deferido;1;correto
1020.2022/0017088-1;Despacho deferido;1;correto
1020.2022/0017089-0;Despacho deferido;1;correto
1020.2022/0017090-3;Despacho deferido;1;correto
1020.2022/0017091-1;Despacho deferido;1;correto
1020.2022/0017092-0;Despacho deferido;1;correto
1020.2022/0017093-8;Despacho deferido;1;correto
1020.2022/0017094-6;Despacho deferido;1;correto
1020.2022/0017095-4;Despacho deferido;1;correto
1020.2022/0017096-2;Despacho deferido;1;correto
1020.2022/0017097-0;Despacho deferido;1;correto
1020.2022/0017098-9;Despacho deferido;1;correto
1020.2022/0017099-7;Despacho deferido;1;correto
1020.2022/0017100-4;Despacho deferido;1;correto
1020.2022/0017101-2;Despacho deferido;1;correto
1020.2022/0017102-0;Despacho deferido;1;correto
1020.2022/0017103-9;Despacho deferido;1;correto
1020.2022/0017104-7;Despacho deferido;1;correto
1020.2022/0017105-5;Despacho deferido;1;correto
1020.2022/0017106-3;Despacho deferido;1;correto
1020.2022/0017107-1;Despacho deferido;1;correto
1020.2022/0017108-0;Despacho deferido;1;correto
1020.2022/0017109-8;Despacho deferido;1;correto
1020.2022/0017110-1;Despacho deferido;1;correto
1020.2022/0017111-0;Despacho deferido;1;correto
1020.2022/0017112-8;Despacho deferido;1;correto
1020.2022/0017113-6;Despacho deferido;1;correto
1020.2022/0017084-9;Despacho deferido;1;correto
1020.2022/0017083-0;Despacho deferido;1;correto
1020.2022/0017082-2;Despacho deferido;1;correto
1020.2022/0017066-0;Despacho deferido;1;correto
1020.2022/0017053-9;Despacho deferido;1;correto
1020.2022/0017054-7;Despacho deferido;1;correto
1020.2022/0017055-5;Despacho deferido;1;correto
1020.2022/0017056-3;Despacho deferido;1;correto
1020.2022/0017057-1;Despacho deferido;1;correto
1020.2022/0017058-0;Despacho deferido;1;correto
1020.2022/0017059-8;Despacho deferido;1;correto
1020.2022/0017060-1;Despacho deferido;1;correto
1020.2022/0017061-0;Despacho deferido;1;correto
1020.2022/0017062-8;Despacho deferido;1;correto
1020.2022/0017063-6;Despacho deferido;1;correto
1020.2022/0017064-4;Despacho deferido;1;correto
1020.2022/0017065-2;Despacho deferido;1;correto
1020.2022/0017067-9;Despacho deferido;1;correto
1020.2022/0017081-4;Despacho deferido;1;correto
1020.2022/0017068-7;Despacho deferido;1;correto
1020.2022/0017069-5;Despacho deferido;1;correto
1020.2022/0017070-9;Despacho deferido;1;correto
1020.2022/0017071-7;Despacho deferido;1;correto
1020.2022/0017072-5;Despacho deferido;1;correto
1020.2022/0017073-3;Despacho deferido;1;correto
1020.2022/0017074-1;Despacho deferido;1;correto
1020.2022/0017075-0;Despacho deferido;1;correto
1020.2022/0017076-8;Despacho deferido;1;correto
1020.2022/0017077-6;Despacho deferido;1;correto
1020.2022/0017078-4;Despacho deferido;1;correto
1020.2022/0017079-2;Despacho deferido;1;correto
1020.2022/0017080-6;Despacho deferido;1;correto
1020.2022/0017114-4;Despacho deferido;1;correto
1020.2022/0017115-2;Despacho deferido;1;correto
1020.2022/0017116-0;Despacho deferido;1;correto
1020.2022/0017169-1;Despacho deferido;1;correto
1020.2022/0017155-1;Despacho deferido;1;correto
1020.2022/0017156-0;Despacho deferido;1;correto
1020.2022/0017157-8;Despacho deferido;1;correto
1020.2022/0017158-6;Despacho deferido;1;correto
1020.2022/0017159-4;Despacho deferido;1;correto
1020.2022/0017160-8;Despacho deferido;1;correto
1020.2022/0017161-6;Despacho deferido;1;correto
