processo;despacho;contagem_dom;contagem_dispatched
1020.2022/0016666-3;deferido;1;correto
1020.2022/0017889-0;deferido;1;correto
1020.2022/0017888-2;deferido;1;correto
1020.2022/0016619-1;deferido;1;correto
1020.2022/0016620-5;deferido;1;correto
1020.2022/0017681-2;deferido;1;correto
1020.2022/0017683-9;deferido;1;correto
1020.2022/0017684-7;deferido;1;correto
1020.2022/0017028-8;deferido;1;correto
1020.2022/0017412-7;deferido;1;correto
1020.2022/0017138-1;deferido;1;correto
1020.2022/0017126-8;deferido;1;correto
1020.2022/0017130-6;deferido;1;correto
1020.2022/0016916-6;deferido;1;correto
1020.2022/0017132-2;deferido;1;correto
1020.2022/0017133-0;deferido;1;correto
1020.2022/0017134-9;deferido;1;correto
1020.2022/0017137-3;deferido;1;correto
1020.2022/0017139-0;deferido;1;correto
1020.2022/0017106-3;deferido;1;correto
1020.2022/0017141-1;deferido;1;correto
1020.2022/0017142-0;deferido;1;correto
1020.2022/0016911-5;deferido;1;correto
1020.2022/0016910-7;deferido;1;correto
1020.2022/0017143-8;deferido;1;correto
1020.2022/0016908-5;deferido;1;correto
1020.2022/0017144-6;deferido;1;correto
1020.2022/0017145-4;deferido;1;correto
1020.2022/0016905-0;deferido;1;correto
1020.2022/0017146-2;deferido;1;correto
1020.2022/0017147-0;deferido;1;correto
1020.2022/0017125-0;deferido;1;correto
1020.2022/0017123-3;deferido;1;correto
1020.2022/0017122-5;deferido;1;correto
1020.2022/0016917-4;deferido;1;correto
1020.2022/0017108-0;deferido;1;correto
1020.2022/0017109-8;deferido;1;correto
1020.2022/0017110-1;deferido;1;correto
1020.2022/0017111-0;deferido;1;correto
1020.2022/0017112-8;deferido;1;correto
1020.2022/0016929-8;deferido;1;correto
1020.2022/0016928-0;deferido;1;correto
1020.2022/0017113-6;deferido;1;correto
1020.2022/0016925-5;deferido;1;correto
1020.2022/0016923-9;deferido;1;correto
1020.2022/0017114-4;deferido;1;correto
1020.2022/0017115-2;deferido;1;correto
1020.2022/0017116-0;deferido;1;correto
1020.2022/0016921-2;deferido;1;correto
1020.2022/0016920-4;deferido;1;correto
1020.2022/0017117-9;deferido;1;correto
1020.2022/0017118-7;deferido;1;correto
1020.2022/0017119-5;deferido;1;correto
1020.2022/0016919-0;deferido;1;correto
1020.2022/0017120-9;deferido;1;correto
1020.2022/0017121-7;deferido;1;correto
1020.2022/0017148-9;deferido;1;correto
1020.2022/0017149-7;deferido;1;correto
1020.2022/0017150-0;deferido;1;correto
1020.2022/0017167-5;deferido;1;correto
1020.2022/0016889-5;deferido;1;correto
1020.2022/0017169-1;deferido;1;correto
1020.2022/0017170-5;deferido;1;correto
1020.2022/0017171-3;deferido;1;correto
1020.2022/0017172-1;deferido;1;correto
1020.2022/0017173-0;deferido;1;correto
1020.2022/0017174-8;deferido;1;correto
1020.2022/0016888-7;deferido;1;correto
1020.2022/0017175-6;deferido;1;correto
1020.2022/0017176-4;deferido;1;correto
1020.2022/0017177-2;deferido;1;correto
1020.2022/0016887-9;deferido;1;correto
1020.2022/0017942-0;deferido;1;correto
1020.2022/0017178-0;deferido;1;correto
1020.2022/0017179-9;deferido;1;correto
1020.2022/0017180-2;deferido;1;correto
1020.2022/0016886-0;deferido;1;correto
1020.2022/0017181-0;deferido;1;correto
1020.2022/0017182-9;deferido;1;correto
1020.2022/0017183-7;deferido;1;correto
1020.2022/0017184-5;deferido;1;correto
1020.2022/0017185-3;deferido;1;correto
1020.2022/0017186-1;deferido;1;correto
1020.2022/0017166-7;deferido;1;correto
1020.2022/0016902-6;deferido;1;correto
1020.2022/0017165-9;deferido;1;correto
1020.2022/0016901-8;deferido;1;correto
1020.2022/0017151-9;deferido;1;correto
1020.2022/0017152-7;deferido;1;correto
1020.2022/0017153-5;deferido;1;correto
1020.2022/0017154-3;deferido;1;correto
1020.2022/0017155-1;deferido;1;correto
1020.2022/0017156-0;deferido;1;correto
1020.2022/0016898-4;deferido;1;correto
1020.2022/0017157-8;deferido;1;correto
1020.2022/0017158-6;deferido;1;correto
1020.2022/0017159-4;deferido;1;correto
1020.2022/0017160-8;deferido;1;correto
1020.2022/0017161-6;deferido;1;correto
1020.2022/0016896-8;deferido;1;correto
1020.2022/0017162-4;deferido;1;correto
1020.2022/0016893-3;deferido;1;correto
1020.2022/0017163-2;deferido;1;correto
1020.2022/0017164-0;deferido;1;correto
1020.2022/0016891-7;deferido;1;correto
1020.2022/0017107-1;deferido;1;correto
1020.2022/0017105-5;deferido;1;correto
1020.2022/0017058-0;deferido;1;correto
1020.2022/0017049-0;deferido;1;correto
1020.2022/0017050-4;deferido;1;correto
1020.2022/0017051-2;deferido;1;correto
1020.2022/0017052-0;deferido;1;correto
1020.2022/0017053-9;deferido;1;correto
1020.2022/0016983-2;deferido;1;correto
1020.2022/0017054-7;deferido;1;correto
1020.2022/0017055-5;deferido;1;correto
1020.2022/0017056-3;deferido;1;correto
1020.2022/0017057-1;deferido;1;correto
1020.2022/0017059-8;deferido;1;correto
1020.2022/0017104-7;deferido;1;correto
1020.2022/0017060-1;deferido;1;correto
1020.2022/0017061-0;deferido;1;correto
1020.2022/0017062-8;deferido;1;correto
1020.2022/0017063-6;deferido;1;correto
1020.2022/0017064-4;deferido;1;correto
1020.2022/0017065-2;deferido;1;correto
1020.2022/0017066-0;deferido;1;correto
1020.2022/0017067-9;deferido;1;correto
1020.2022/0017068-7;deferido;1;correto
1020.2022/0017069-5;deferido;1;correto
1020.2022/0017070-9;deferido;1;correto
1020.2022/0016985-9;deferido;1;correto
1020.2022/0017048-2;deferido;1;correto
1020.2022/0017047-4;deferido;1;correto
1020.2022/0017046-6;deferido;1;correto
1020.2022/0017027-0;deferido;1;correto
