n_protocolo;n_processo;data_comuniquese;coord_comuniquese;data_extracao
47570/2021;1020.2021/0014738-1;23/11/2023;GTEC;2024.08.02
47617/2022;1020.2020/0002218-8;02/04/2024;GTEC;2024.08.02
47617/2022;1020.2020/0002218-8;18/07/2023;GTEC;2024.08.02
47617/2022;1020.2020/0002218-8;21/06/2024;GTEC;2024.08.02
47617/2022;1020.2020/0002218-8;31/01/2023;GTEC;2024.08.02
47621/2021;1020.2020/0000796-0;24/02/2023;GTEC;2024.08.02
47796/2020;1020.2020/0008987-8;19/06/2023;GTEC;2024.08.02
47892/2020;1020.2020/0012288-3;01/03/2023;GTEC;2024.08.02
47892/2020;1020.2020/0012288-3;10/01/2023;GTEC;2024.08.02
47920/2020;1020.2020/0004645-1;06/06/2023;GTEC;2024.08.02
47920/2020;1020.2020/0004645-1;25/04/2023;GTEC;2024.08.02
48127/2023;1020.2020/0014656-1;26/07/2024;GTEC;2024.08.02
48151/2022;1020.2022/0020872-2;31/07/2023;GTEC;2024.08.02
48190/2020;1020.2020/0007453-6;22/06/2023;GTEC;2024.08.02
48340/2021;1020.2021/0017604-7;27/02/2023;GTEC;2024.08.02
48392/2020;1020.2020/0007444-7;05/12/2022;GTEC;2024.08.02
48392/2020;1020.2020/0007444-7;30/01/2023;GTEC;2024.08.02
48434/2022;1020.2021/0001830-1;27/04/2023;GTEC;2024.08.02
48660/2021;1020.2021/0015794-8;03/07/2023;GTEC;2024.08.02
48660/2021;1020.2021/0015794-8;04/01/2024;GTEC;2024.08.02
48660/2021;1020.2021/0015794-8;10/11/2023;GTEC;2024.08.02
48830/2022;1020.2021/0004917-7;05/02/2024;GTEC;2024.08.02
48830/2022;1020.2021/0004917-7;11/09/2023;GTEC;2024.08.02
48830/2022;1020.2021/0004917-7;20/12/2023;GTEC;2024.08.02
48857/2021;1020.2020/0001937-3;05/02/2024;GTEC;2024.08.02
48857/2021;1020.2020/0001937-3;05/10/2023;GTEC;2024.08.02
48857/2021;1020.2020/0001937-3;15/12/2023;GTEC;2024.08.02
48857/2021;1020.2020/0001937-3;20/04/2023;GTEC;2024.08.02
48926/2021;1020.2021/0015683-6;26/06/2024;GTEC;2024.08.02
49274/2022;1020.2022/0021886-8;02/03/2023;GTEC;2024.08.02
49274/2022;1020.2022/0021886-8;30/01/2023;GTEC;2024.08.02
49309/2021;1020.2021/0015689-5;12/04/2023;GTEC;2024.08.02
49309/2021;1020.2021/0015689-5;20/03/2023;GTEC;2024.08.02
49357/2020;1020.2020/0007337-8;25/08/2023;GTEC;2024.08.02
49357/2020;1020.2020/0007337-8;29/11/2022;GTEC;2024.08.02
49357/2020;1020.2020/0007337-8;30/06/2023;GTEC;2024.08.02
49881/2021;1020.2020/0004806-3;27/10/2023;GTEC;2024.08.02
49937/2021;1020.2020/0001936-5;17/01/2024;GTEC;2024.08.02
49957/2021;1020.2020/0004809-8;08/04/2024;GTEC;2024.08.02
49957/2021;1020.2020/0004809-8;22/01/2024;GTEC;2024.08.02
49995/2021;1020.2020/0003816-5;06/03/2024;GTEC;2024.08.02
49995/2021;1020.2020/0003816-5;17/01/2024;GTEC;2024.08.02
50454/2021;1020.2020/0002116-5;29/01/2024;GTEC;2024.08.02
51006/2020;1020.2020/0014651-0;23/01/2024;GTEC;2024.08.02
51325/2020;1020.2020/0008993-2;09/10/2023;GTEC;2024.08.02
51494/2021;1020.2021/0018602-6;10/10/2023;GTEC;2024.08.02
51494/2021;1020.2021/0018602-6;22/12/2023;GTEC;2024.08.02
51494/2021;1020.2021/0018602-6;27/07/2023;GTEC;2024.08.02
51556/2022;1020.2022/0022842-1;28/06/2024;GTEC;2024.08.02
51639/2021;1020.2021/0016943-1;02/02/2023;GTEC;2024.08.02
51767/2021;1020.2020/0001687-0;22/01/2024;GTEC;2024.08.02
51982/2023;1020.2020/0012619-6;01/02/2024;GTEC;2024.08.02
52041/2020;1020.2020/0007339-4;22/12/2022;GTEC;2024.08.02
52041/2020;1020.2020/0007339-4;29/11/2022;GTEC;2024.08.02
52164/2020;1020.2020/0007343-2;02/12/2022;GTEC;2024.08.02
52164/2020;1020.2020/0007343-2;06/02/2023;GTEC;2024.08.02
52164/2020;1020.2020/0007343-2;09/01/2023;GTEC;2024.08.02
52962/2021;1020.2020/0002679-5;06/05/2024;GTEC;2024.08.02
52962/2021;1020.2020/0002679-5;29/01/2024;GTEC;2024.08.02
53211/2021;1020.2021/0017833-3;09/11/2023;GTEC;2024.08.02
