dt_autuacao,n_processos,assunto,unidade,status
19/12/2023,1020.2023/0027236-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/12/2023,1020.2023/0027838-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/12/2023,1020.2023/0027841-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/12/2023,1020.2023/0028217-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/12/2023,1020.2023/0028227-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
26/12/2023,1020.2023/0028626-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/12/2023,1020.2023/0028948-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
29/12/2023,1020.2023/0029662-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/01/2024,1020.2024/0000265-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/01/2024,1020.2024/0000912-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
17/01/2024,1020.2024/0001671-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
17/01/2024,1020.2024/0001687-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
17/01/2024,1020.2024/0001723-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/01/2024,1020.2024/0002273-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
24/01/2024,1020.2024/0002388-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/02/2024,1020.2024/0003122-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/02/2024,1020.2024/0003123-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/02/2024,1020.2024/0003388-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
08/02/2024,1020.2024/0003628-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
15/02/2024,1020.2024/0003918-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
21/02/2024,1020.2024/0004264-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/02/2024,1020.2024/0004282-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
22/02/2024,1020.2024/0004317-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
23/02/2024,1020.2024/0004410-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/02/2024,1020.2024/0004668-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
27/02/2024,1020.2024/0004680-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
29/02/2024,1020.2024/0004893-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
29/02/2024,1020.2024/0004913-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
01/03/2024,1020.2024/0004977-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/03/2024,1020.2024/0005057-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/03/2024,1020.2024/0005259-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/03/2024,1020.2024/0005584-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/03/2024,1020.2024/0006202-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
18/03/2024,1020.2024/0006232-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/03/2024,1020.2024/0006347-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
19/03/2024,1020.2024/0006348-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/03/2024,1020.2024/0006459-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/03/2024,1020.2024/0006460-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
20/03/2024,1020.2024/0006461-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
25/03/2024,1020.2024/0006795-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/04/2024,1020.2024/0007305-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
02/04/2024,1020.2024/0007352-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007414-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007416-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007426-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007487-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007493-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007505-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007509-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007513-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
03/04/2024,1020.2024/0007514-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/04/2024,1020.2024/0007608-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/04/2024,1020.2024/0007613-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
04/04/2024,1020.2024/0007651-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/04/2024,1020.2024/0007677-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/04/2024,1020.2024/0007712-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
05/04/2024,1020.2024/0007754-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/04/2024,1020.2024/0007774-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
06/04/2024,1020.2024/0007806-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
08/04/2024,1020.2024/0007886-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
08/04/2024,1020.2024/0007905-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0007928-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0007946-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0007947-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0007990-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0007996-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0008007-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0008017-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
09/04/2024,1020.2024/0008018-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008062-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008063-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008064-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008065-7,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008066-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008072-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008075-4,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008081-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008087-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008090-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008091-6,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008093-2,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008094-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
10/04/2024,1020.2024/0008095-9,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/04/2024,1020.2024/0008150-5,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/04/2024,1020.2024/0008151-3,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/04/2024,1020.2024/0008152-1,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/04/2024,1020.2024/0008153-0,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
11/04/2024,1020.2024/0008154-8,FICHA TÉCNICA,SEL-CASE-DDU-Análise,Em Análise
